symbol,asd,devreg,cns,housekeeping,gene_len,protein_len,transcripts,te,rvis
1-Mar,no link,non-devreg,non-CNS,luxury,858958,289,4,1051,0.04
10-Mar,asd-linked,non-devreg,non-CNS,luxury,107031,808,8,173,1.8
11-Mar,no link,non-devreg,non-CNS,luxury,112424,402,2,134,NA
2-Mar,no link,non-devreg,non-CNS,housekeeping,25713,246,6,84,-0.03
3-Mar,no link,non-devreg,non-CNS,luxury,163095,253,2,177,-0.43
4-Mar,no link,non-devreg,non-CNS,luxury,114166,410,2,199,-0.67
5-Mar,no link,non-devreg,non-CNS,housekeeping,62802,278,2,142,-0.14
6-Mar,no link,non-devreg,non-CNS,housekeeping,86750,910,6,130,-0.56
7-Mar,no link,non-devreg,non-CNS,housekeeping,56075,704,8,92,0.73
8-Mar,no link,non-devreg,non-CNS,luxury,78003,573,6,100,0.68
9-Mar,no link,non-devreg,non-CNS,luxury,5313,346,2,4,NA
MARCKS,no link,Devreg,non-CNS,luxury,6126,332,2,1,NA
MARCKSL1,no link,non-devreg,non-CNS,luxury,2411,195,2,0,-0.27
MARCO,no link,non-devreg,non-CNS,luxury,52492,520,2,60,-0.37
MARK1,asd-linked,non-devreg,non-CNS,luxury,136232,795,10,170,-0.31
MARK2,no link,Devreg,non-CNS,luxury,72093,788,10,102,-0.71
MARK3,no link,non-devreg,non-CNS,housekeeping,118466,753,10,258,-0.69
MARK4,no link,non-devreg,non-CNS,housekeeping,54026,752,4,147,-0.98
MARS,no link,non-devreg,non-CNS,housekeeping,28719,900,2,53,-0.97
MARS2,no link,non-devreg,non-CNS,housekeeping,3087,593,2,0,-0.84
MARVELD1,no link,non-devreg,non-CNS,luxury,4445,173,2,5,NA
MARVELD2,no link,non-devreg,non-CNS,luxury,26952,558,4,58,-0.35
MARVELD3,no link,non-devreg,non-CNS,luxury,10053,401,6,16,0.07
MAS1,no link,non-devreg,CNS,luxury,1134,325,2,0,-0.78
MAS1L,no link,non-devreg,non-CNS,luxury,1137,378,2,0,1.57
MASP1,no link,non-devreg,non-CNS,luxury,57941,728,6,108,-0.63
MASP2,no link,non-devreg,non-CNS,luxury,20717,686,4,30,0.94
MAST1,no link,non-devreg,non-CNS,luxury,36508,1570,2,94,-1.91
MAST2,no link,non-devreg,non-CNS,luxury,232512,1798,2,480,-0.16
MAST3,no link,non-devreg,non-CNS,luxury,53897,1309,2,138,-1.55
MAST4,no link,non-devreg,non-CNS,luxury,573248,2623,14,678,-0.22
MASTL,no link,non-devreg,non-CNS,luxury,32096,879,6,66,1.14
MAT1A,no link,non-devreg,non-CNS,luxury,17859,395,2,9,-0.78
MAT2A,no link,non-devreg,non-CNS,luxury,6303,395,2,0,-0.52
MAT2B,no link,non-devreg,non-CNS,housekeeping,13826,334,4,17,-0.34
MATK,no link,non-devreg,non-CNS,luxury,8449,507,6,9,-0.55
MATN1,no link,Devreg,non-CNS,luxury,12309,496,2,17,-0.75
MATN2,no link,non-devreg,non-CNS,luxury,167636,956,4,372,1.21
MATN3,no link,non-devreg,non-CNS,luxury,20643,486,2,28,0.49
MATN4,no link,non-devreg,non-CNS,luxury,14881,581,6,36,1.29
MATR3,no link,non-devreg,non-CNS,luxury,38034,847,12,43,-0.65
MAU2,no link,non-devreg,non-CNS,luxury,37934,613,2,54,-0.76
MAVS,no link,non-devreg,non-CNS,housekeeping,29325,540,4,60,0.14
MAX,no link,non-devreg,non-CNS,housekeeping,27421,160,14,22,-0.23
MAZ,no link,non-devreg,non-CNS,housekeeping,4647,493,8,0,NA
MB,no link,non-devreg,non-CNS,luxury,10574,154,6,22,-0.27
MB21D1,no link,non-devreg,non-CNS,luxury,27188,522,2,78,0.24
MB21D2,no link,non-devreg,non-CNS,luxury,121346,491,2,207,-0.27
MBD1,asd-linked,Devreg,non-CNS,housekeeping,12929,655,28,13,-0.75
MBD2,asd-linked,non-devreg,non-CNS,housekeeping,73188,411,4,111,-0.1
MBD3,asd-linked,non-devreg,non-CNS,housekeeping,15976,291,4,31,-0.82
MBD3L1,no link,non-devreg,non-CNS,luxury,748,194,2,0,0.44
MBD3L2,no link,non-devreg,non-CNS,luxury,2396,208,2,3,NA
MBD3L3,no link,non-devreg,non-CNS,luxury,2430,208,2,2,NA
MBD3L4,no link,non-devreg,non-CNS,luxury,2430,208,2,1,NA
MBD3L5,no link,non-devreg,non-CNS,luxury,2429,208,2,1,NA
MBD4,no link,non-devreg,non-CNS,housekeeping,9236,580,10,12,0.62
MBD5,no link,Devreg,non-CNS,luxury,492465,1494,2,686,-2.12
MBD6,no link,non-devreg,non-CNS,luxury,7273,1003,2,1,-1.46
MBIP,no link,non-devreg,non-CNS,luxury,22119,344,4,22,-0.05
MBL2,no link,non-devreg,non-CNS,luxury,6321,248,2,6,0.42
MBLAC1,no link,non-devreg,non-CNS,housekeeping,1802,266,2,0,NA
MBLAC2,no link,non-devreg,non-CNS,luxury,16566,279,2,23,-0.52
MBNL1,no link,non-devreg,non-CNS,luxury,166376,388,14,150,-0.45
MBNL2,no link,non-devreg,non-CNS,housekeeping,171825,367,4,196,-0.29
MBNL3,no link,Devreg,non-CNS,luxury,71000,354,12,56,-0.25
MBOAT1,no link,non-devreg,non-CNS,luxury,112780,495,2,190,7.61e-5
MBOAT2,no link,non-devreg,non-CNS,luxury,147176,520,2,202,0.08
MBOAT4,no link,non-devreg,non-CNS,luxury,13014,435,2,27,1.24
MBOAT7,no link,non-devreg,CNS,luxury,16628,472,8,35,-0.53
MBP,no link,Devreg,CNS,luxury,153986,304,12,130,0.2
MBTD1,no link,non-devreg,non-CNS,luxury,82642,628,2,163,0.06
MBTPS1,no link,non-devreg,non-CNS,housekeeping,63149,1052,2,77,-1.3
MBTPS2,no link,non-devreg,non-CNS,housekeeping,45886,519,2,68,-0.56
MC1R,no link,non-devreg,non-CNS,luxury,3099,317,2,2,0.34
MC2R,no link,non-devreg,non-CNS,luxury,33493,297,4,27,0.26
MC3R,no link,non-devreg,non-CNS,luxury,1084,323,2,0,-0.4
MC4R,no link,non-devreg,non-CNS,luxury,1438,332,2,0,-0.18
MC5R,no link,non-devreg,non-CNS,luxury,1319,325,2,0,0.06
MCAM,no link,non-devreg,non-CNS,luxury,8607,646,2,6,-0.86
MCAT,no link,non-devreg,non-CNS,housekeeping,11192,390,4,28,-0.05
MCC,no link,non-devreg,non-CNS,luxury,466732,1019,4,635,-1.43
MCCC1,no link,non-devreg,non-CNS,housekeeping,84360,725,4,179,-0.86
MCCC2,no link,non-devreg,non-CNS,luxury,71416,563,2,132,-0.22
MCCD1,no link,non-devreg,non-CNS,luxury,1270,119,2,0,0.88
MCEE,no link,non-devreg,non-CNS,housekeeping,20589,176,2,42,0.68
MCEMP1,no link,non-devreg,non-CNS,luxury,2777,187,2,2,1.08
MCF2,no link,non-devreg,non-CNS,luxury,126452,1001,12,168,0.87
MCF2L,no link,non-devreg,non-CNS,luxury,130519,1125,4,72,-1.58
MCF2L2,no link,non-devreg,non-CNS,luxury,250025,1114,2,434,0.85
MCFD2,no link,non-devreg,non-CNS,housekeeping,14243,146,14,18,-0.16
MCHR1,no link,non-devreg,non-CNS,luxury,3637,422,2,0,0.0
MCHR2,no link,non-devreg,non-CNS,luxury,74329,340,4,74,-0.27
MCIDAS,no link,non-devreg,non-CNS,luxury,7719,385,2,7,NA
MCL1,no link,non-devreg,non-CNS,luxury,5188,350,6,0,-0.18
MCM10,no link,non-devreg,non-CNS,luxury,49551,875,4,98,-0.03
MCM2,no link,non-devreg,non-CNS,luxury,24079,904,2,47,-0.95
MCM3,no link,non-devreg,non-CNS,luxury,20868,818,4,28,-0.93
MCM3AP,no link,non-devreg,non-CNS,housekeeping,50189,1980,2,84,-2.55
MCM4,no link,non-devreg,non-CNS,luxury,17957,863,4,19,-1.1
MCM5,no link,non-devreg,non-CNS,luxury,24380,734,2,60,-0.44
MCM6,no link,non-devreg,non-CNS,luxury,36852,821,2,61,-0.57
MCM7,no link,non-devreg,non-CNS,housekeeping,9024,719,6,8,-1.26
MCM8,no link,non-devreg,non-CNS,luxury,44534,840,10,81,1.41
MCM9,no link,non-devreg,non-CNS,luxury,118292,1143,4,165,NA
MCMBP,no link,non-devreg,non-CNS,housekeeping,43480,642,6,78,-0.65
MCMDC2,no link,non-devreg,non-CNS,luxury,51300,681,6,109,1.16
MCOLN1,no link,non-devreg,non-CNS,housekeeping,11400,580,2,18,-0.93
MCOLN2,no link,non-devreg,non-CNS,luxury,71531,566,2,104,0.71
MCOLN3,no link,non-devreg,non-CNS,luxury,30459,553,4,47,-0.69
MCPH1,asd-linked,non-devreg,CNS,housekeeping,237028,835,6,329,1.39
MCRS1,no link,non-devreg,non-CNS,housekeeping,8137,475,6,5,-0.47
MCTP1,no link,non-devreg,non-CNS,luxury,577991,999,6,681,-1.51
MCTP2,no link,non-devreg,non-CNS,luxury,185752,878,6,178,-0.19
MCTS1,no link,non-devreg,non-CNS,housekeeping,16465,182,4,24,0.32
MCU,no link,non-devreg,non-CNS,housekeeping,195564,351,6,400,-0.12
MCUR1,no link,non-devreg,non-CNS,housekeeping,28012,359,2,43,NA
MDC1,no link,non-devreg,non-CNS,housekeeping,17875,2089,2,31,5.2
MDFI,no link,non-devreg,non-CNS,luxury,15788,246,8,22,-0.14
MDFIC,no link,non-devreg,non-CNS,luxury,97762,355,6,102,NA
MDGA1,no link,non-devreg,CNS,luxury,65483,955,2,108,-1.13
MDGA2,no link,non-devreg,CNS,luxury,835330,1025,4,916,-1.02
MDH1,no link,non-devreg,non-CNS,luxury,18046,352,6,23,-0.21
MDH1B,no link,non-devreg,non-CNS,luxury,27562,518,4,40,-0.11
MDH2,no link,non-devreg,non-CNS,luxury,18538,338,6,33,-0.33
MDK,no link,non-devreg,CNS,luxury,2770,143,12,1,0.06
MDM1,no link,non-devreg,non-CNS,luxury,37816,714,8,44,0.38
MDM2,no link,non-devreg,non-CNS,luxury,37350,497,10,72,-0.52
MDM4,no link,non-devreg,non-CNS,luxury,41742,490,14,83,0.08
MDN1,no link,non-devreg,non-CNS,luxury,176212,5596,2,320,0.59
MDP1,no link,non-devreg,non-CNS,housekeeping,2662,122,6,2,-0.05
ME1,no link,non-devreg,non-CNS,luxury,220829,572,2,299,-0.27
ME2,no link,non-devreg,non-CNS,housekeeping,70731,584,4,143,0.46
ME3,no link,non-devreg,non-CNS,luxury,231091,604,6,361,-0.82
MEA1,no link,non-devreg,non-CNS,luxury,1652,185,2,1,0.22
MEAF6,no link,non-devreg,non-CNS,housekeeping,24860,201,6,50,-0.1
MECOM,no link,non-devreg,CNS,luxury,580277,1239,14,528,-0.99
MECP2,asd-linked,Devreg,CNS,housekeeping,75925,498,4,159,-0.89
MECR,no link,non-devreg,non-CNS,luxury,38070,373,4,104,0.71
MED1,no link,Devreg,CNS,luxury,46990,1581,2,112,-1.55
MED10,no link,non-devreg,non-CNS,housekeeping,6601,135,2,4,-0.08
MED11,no link,non-devreg,non-CNS,housekeeping,2174,117,4,4,0.01
MED12,no link,Devreg,CNS,luxury,23899,2177,2,18,-1.0
MED12L,no link,non-devreg,non-CNS,luxury,349881,2145,2,413,-2.54
MED13,no link,non-devreg,non-CNS,housekeeping,122678,2174,2,236,-1.43
MED13L,no link,non-devreg,non-CNS,luxury,318611,2210,2,418,-2.74
MED14,no link,non-devreg,non-CNS,housekeeping,86010,1454,2,126,-0.36
MED15,no link,non-devreg,non-CNS,luxury,80034,788,12,145,-1.46
MED16,no link,non-devreg,non-CNS,housekeeping,25257,877,2,29,-2.73
MED17,no link,non-devreg,non-CNS,luxury,29092,651,2,54,-0.78
MED18,no link,non-devreg,non-CNS,luxury,6966,208,4,21,-0.07
MED19,no link,non-devreg,non-CNS,housekeeping,8487,194,2,20,-0.01
MED20,no link,non-devreg,non-CNS,housekeeping,15786,116,2,39,-0.1
MED21,no link,non-devreg,non-CNS,housekeeping,8152,144,4,8,-0.01
MED22,no link,non-devreg,non-CNS,luxury,7218,200,4,7,-0.07
MED23,no link,non-devreg,non-CNS,luxury,41502,1368,8,43,-1.13
MED24,no link,non-devreg,non-CNS,housekeeping,35540,989,6,82,-1.41
MED25,no link,non-devreg,non-CNS,luxury,18702,747,2,35,-0.53
MED26,no link,non-devreg,non-CNS,luxury,53298,600,2,60,-1.22
MED27,no link,non-devreg,non-CNS,luxury,219778,311,6,319,-0.47
MED28,no link,Devreg,non-CNS,luxury,9888,178,2,17,-0.05
MED29,no link,non-devreg,non-CNS,housekeeping,9241,221,2,21,-0.36
MED30,no link,non-devreg,non-CNS,luxury,19537,178,4,22,0.28
MED31,no link,non-devreg,non-CNS,housekeeping,8322,131,2,13,0.01
MED4,no link,non-devreg,non-CNS,housekeeping,19414,270,4,37,0.37
MED6,no link,non-devreg,non-CNS,housekeeping,16428,246,8,21,-0.25
MED7,no link,non-devreg,non-CNS,housekeeping,4471,233,4,9,0.53
MED8,no link,non-devreg,non-CNS,housekeeping,5905,301,6,1,-0.21
MED9,no link,non-devreg,non-CNS,luxury,16235,146,2,23,0.19
MEDAG,no link,Devreg,non-CNS,luxury,19398,303,2,19,-0.18
MEF2A,no link,Devreg,non-CNS,housekeeping,150497,499,10,206,-0.31
MEF2B,no link,non-devreg,non-CNS,luxury,24723,368,2,58,-0.6
MEF2BNB,no link,non-devreg,non-CNS,housekeeping,15688,119,4,44,0.15
MEF2BNB-MEF2B,no link,non-devreg,non-CNS,luxury,47025,365,2,118,NA
MEF2C,asd-linked,Devreg,non-CNS,luxury,185865,483,12,156,0.06
MEF2D,no link,non-devreg,non-CNS,luxury,26879,514,4,33,-0.62
MEFV,no link,non-devreg,non-CNS,luxury,14600,781,4,34,1.19
MEGF10,no link,Devreg,non-CNS,luxury,170455,1140,4,202,-1.21
MEGF11,asd-linked,non-devreg,non-CNS,luxury,358442,1044,2,671,-0.64
MEGF6,no link,non-devreg,non-CNS,luxury,123554,1541,2,61,2.07
MEGF8,no link,Devreg,non-CNS,luxury,53161,2845,4,97,-4.01
MEGF9,no link,non-devreg,non-CNS,luxury,113570,602,2,203,-0.38
MEI1,no link,non-devreg,non-CNS,luxury,99942,1274,2,311,-0.46
MEIG1,no link,non-devreg,non-CNS,luxury,13413,88,2,27,0.35
MEIOB,no link,non-devreg,non-CNS,luxury,38196,471,4,90,1.0
MEIS1,no link,Devreg,non-CNS,luxury,137360,390,2,89,-0.32
MEIS2,no link,Devreg,non-CNS,luxury,209120,477,16,170,-0.4
MEIS3,no link,non-devreg,non-CNS,luxury,16411,358,6,30,-0.13
MELK,no link,non-devreg,non-CNS,luxury,104822,651,18,251,0.62
MEMO1,no link,non-devreg,non-CNS,housekeeping,142805,297,8,289,0.01
MEN1,no link,Devreg,CNS,housekeeping,7203,615,14,5,-0.27
MEOX1,no link,non-devreg,non-CNS,luxury,21174,254,6,47,0.64
MEOX2,no link,non-devreg,non-CNS,luxury,75472,304,2,69,-0.03
MEP1A,no link,non-devreg,non-CNS,luxury,46426,746,2,53,1.34
MEP1B,no link,non-devreg,non-CNS,luxury,30380,701,2,33,0.76
MEPCE,no link,non-devreg,non-CNS,housekeeping,4496,689,8,0,-0.89
MEPE,no link,Devreg,non-CNS,luxury,13848,525,12,9,1.67
MERTK,no link,non-devreg,non-CNS,luxury,130755,999,2,213,0.87
MESDC1,no link,non-devreg,non-CNS,luxury,3051,362,2,0,NA
MESDC2,no link,non-devreg,non-CNS,luxury,14111,234,2,30,-0.27
MESP1,no link,Devreg,non-CNS,luxury,1443,268,2,0,NA
MESP2,no link,non-devreg,non-CNS,luxury,2394,397,2,1,NA
MEST,no link,non-devreg,non-CNS,luxury,14240,335,12,12,-0.03
MET,asd-linked,non-devreg,CNS,luxury,125982,1408,4,134,-0.46
METAP1,no link,non-devreg,non-CNS,housekeeping,67173,386,2,92,-0.14
METAP1D,no link,non-devreg,non-CNS,luxury,80784,335,2,138,-0.09
METAP2,no link,non-devreg,non-CNS,housekeeping,41792,478,2,83,-0.8
METRN,no link,Devreg,non-CNS,housekeeping,2308,293,2,0,NA
METRNL,no link,Devreg,non-CNS,luxury,15025,311,2,0,-0.09
METTL1,no link,non-devreg,non-CNS,luxury,3564,276,4,3,-0.63
METTL10,no link,non-devreg,non-CNS,luxury,33034,291,6,86,0.46
METTL11B,no link,non-devreg,non-CNS,luxury,21736,283,2,34,1.66
METTL12,no link,non-devreg,non-CNS,luxury,3176,157,2,5,0.71
METTL13,no link,non-devreg,non-CNS,housekeeping,16096,699,6,22,-0.66
METTL14,no link,non-devreg,non-CNS,housekeeping,25504,456,2,42,-0.27
METTL15,no link,non-devreg,non-CNS,luxury,225257,407,6,296,-0.12
METTL16,no link,non-devreg,non-CNS,housekeeping,95853,562,2,225,-0.07
METTL17,no link,non-devreg,non-CNS,housekeeping,7230,456,4,7,0.05
METTL18,no link,non-devreg,non-CNS,housekeeping,2392,372,2,0,0.44
METTL20,no link,non-devreg,non-CNS,housekeeping,9408,262,6,27,0.75
METTL21A,no link,non-devreg,non-CNS,housekeeping,16135,218,4,30,0.13
METTL21B,no link,non-devreg,non-CNS,luxury,9942,226,4,22,0.46
METTL21C,no link,non-devreg,non-CNS,luxury,8775,264,2,10,0.93
METTL22,asd-linked,non-devreg,non-CNS,luxury,24553,404,2,51,0.58
METTL23,no link,non-devreg,non-CNS,housekeeping,7051,190,18,20,0.35
METTL24,no link,non-devreg,non-CNS,luxury,112327,366,2,157,1.26
METTL25,no link,non-devreg,non-CNS,luxury,120741,603,2,168,0.31
METTL2A,no link,non-devreg,non-CNS,housekeeping,26209,378,2,67,0.19
METTL2B,no link,non-devreg,non-CNS,housekeeping,26196,378,2,69,-0.14
METTL3,no link,non-devreg,non-CNS,housekeeping,13176,580,2,20,-0.09
METTL4,no link,non-devreg,non-CNS,luxury,33966,472,2,55,0.55
METTL5,no link,non-devreg,non-CNS,housekeeping,13086,209,6,22,-0.07
METTL6,no link,non-devreg,non-CNS,luxury,17666,284,8,46,-0.21
METTL7A,no link,non-devreg,non-CNS,luxury,7767,244,2,17,0.1
METTL7B,no link,non-devreg,non-CNS,luxury,3065,244,2,4,1.11
METTL8,no link,non-devreg,non-CNS,luxury,117400,407,2,199,NA
METTL9,no link,non-devreg,non-CNS,luxury,57937,318,8,72,-0.14
MEX3A,no link,non-devreg,non-CNS,luxury,9986,520,2,2,-0.36
MEX3B,no link,non-devreg,non-CNS,luxury,4366,569,2,0,-0.76
MEX3C,no link,Devreg,non-CNS,luxury,23132,659,2,30,-0.34
MEX3D,no link,non-devreg,non-CNS,luxury,13390,666,4,27,NA
MFAP1,no link,non-devreg,non-CNS,housekeeping,20219,439,2,47,0.1
MFAP2,no link,non-devreg,non-CNS,luxury,6175,183,8,1,-0.19
MFAP3,no link,non-devreg,non-CNS,housekeeping,18496,362,6,26,-0.54
MFAP3L,no link,non-devreg,non-CNS,luxury,39682,409,8,34,-0.45
MFAP4,no link,non-devreg,non-CNS,luxury,3778,279,4,3,-0.47
MFAP5,no link,non-devreg,non-CNS,luxury,16894,173,10,28,-0.34
MFF,no link,Devreg,non-CNS,housekeeping,30325,342,18,25,-0.07
MFGE8,no link,non-devreg,non-CNS,luxury,14750,387,4,19,-0.53
MFHAS1,no link,non-devreg,non-CNS,luxury,109133,1052,2,169,-1.19
MFI2,no link,Devreg,non-CNS,luxury,28076,738,4,34,-0.09
MFN1,no link,non-devreg,non-CNS,housekeeping,45529,741,2,82,-0.25
MFN2,no link,non-devreg,non-CNS,luxury,33335,757,4,58,-0.77
MFNG,no link,non-devreg,non-CNS,luxury,17378,321,4,43,-0.42
MFRP,no link,non-devreg,non-CNS,luxury,5352,461,2,2,-0.53
MFSD1,no link,non-devreg,non-CNS,luxury,27794,514,8,35,0.2
MFSD10,no link,non-devreg,non-CNS,luxury,4299,455,4,0,-1.15
MFSD11,no link,non-devreg,non-CNS,housekeeping,41754,449,14,102,-0.65
MFSD12,no link,non-devreg,non-CNS,housekeeping,13207,471,4,25,-0.26
MFSD2A,no link,non-devreg,non-CNS,luxury,14845,543,8,25,-0.49
MFSD2B,no link,non-devreg,non-CNS,luxury,14193,497,2,25,0.44
MFSD3,no link,non-devreg,non-CNS,housekeeping,2038,412,2,0,NA
MFSD4,no link,non-devreg,non-CNS,luxury,33935,514,2,48,0.57
MFSD5,no link,non-devreg,non-CNS,housekeeping,2821,557,4,0,-0.78
MFSD6,asd-linked,non-devreg,non-CNS,luxury,93961,791,2,113,0.51
MFSD6L,no link,non-devreg,non-CNS,luxury,2240,586,2,0,2.65
MFSD7,no link,non-devreg,non-CNS,luxury,7356,559,6,2,-0.84
MFSD8,no link,non-devreg,non-CNS,luxury,48180,518,2,98,0.24
MFSD9,no link,non-devreg,non-CNS,luxury,19672,474,2,21,0.38
MGA,no link,non-devreg,non-CNS,luxury,109532,3065,4,196,-0.61
MGAM,no link,non-devreg,non-CNS,luxury,110869,1857,2,132,2.36
MGARP,no link,non-devreg,non-CNS,luxury,14176,240,2,27,0.71
MGAT1,no link,non-devreg,non-CNS,luxury,12508,445,10,16,0.2
MGAT2,no link,non-devreg,non-CNS,housekeeping,2711,447,2,0,0.08
MGAT3,no link,non-devreg,non-CNS,luxury,4971,533,4,1,-0.58
MGAT4A,no link,non-devreg,non-CNS,luxury,112021,535,4,193,0.04
MGAT4B,no link,non-devreg,non-CNS,housekeeping,9355,548,4,2,0.07
MGAT4C,no link,non-devreg,non-CNS,luxury,859645,478,2,1025,-0.2
MGAT4D,no link,non-devreg,non-CNS,luxury,55003,374,2,100,NA
MGAT5,no link,non-devreg,non-CNS,luxury,200363,741,2,244,-1.27
MGAT5B,no link,non-devreg,non-CNS,luxury,81674,790,6,138,-0.93
MGC57346-CRHR1,no link,non-devreg,CNS,luxury,51549,314,4,79,NA
MGEA5,no link,non-devreg,non-CNS,luxury,34023,916,4,48,-0.4
MGLL,no link,non-devreg,non-CNS,luxury,134189,303,6,202,-0.25
MGME1,no link,non-devreg,non-CNS,housekeeping,22001,344,2,48,0.68
MGMT,no link,non-devreg,non-CNS,housekeeping,300330,238,2,250,0.62
MGP,no link,Devreg,non-CNS,luxury,4739,128,4,6,0.77
MGRN1,no link,non-devreg,non-CNS,housekeeping,66151,576,8,114,-1.77
MGST1,no link,non-devreg,non-CNS,luxury,16768,155,14,23,-0.23
MGST2,no link,non-devreg,non-CNS,luxury,38485,147,8,85,0.44
MGST3,no link,non-devreg,non-CNS,housekeeping,25263,152,2,36,-0.1
MIA,no link,non-devreg,non-CNS,luxury,2317,131,4,4,0.17
MIA2,no link,non-devreg,non-CNS,luxury,19451,654,2,44,1.13
MIA3,no link,non-devreg,non-CNS,housekeeping,49908,1907,4,47,0.79
MIB1,no link,Devreg,non-CNS,housekeeping,129368,1006,2,218,-1.42
MIB2,no link,non-devreg,non-CNS,luxury,15196,1070,10,3,-0.03
MICA,no link,non-devreg,non-CNS,luxury,11720,332,8,8,3.71
MICAL1,no link,non-devreg,non-CNS,luxury,11925,1067,6,8,-0.78
MICAL2,no link,non-devreg,non-CNS,luxury,153194,1124,14,243,0.55
MICAL3,no link,non-devreg,non-CNS,luxury,236910,2002,6,299,0.41
MICALCL,no link,non-devreg,non-CNS,luxury,72245,695,2,119,2.54
MICALL1,no link,non-devreg,non-CNS,housekeeping,36311,863,2,81,-0.79
MICALL2,no link,non-devreg,non-CNS,luxury,25115,904,2,22,1.39
MICB,no link,non-devreg,non-CNS,luxury,13047,383,6,10,1.82
MICU1,no link,non-devreg,non-CNS,housekeeping,258866,478,6,559,-0.45
MICU2,no link,non-devreg,non-CNS,housekeeping,111528,434,2,178,0.17
MICU3,no link,non-devreg,non-CNS,luxury,95402,530,2,137,-0.74
MID1,no link,non-devreg,non-CNS,luxury,438460,667,18,505,-0.78
MID1IP1,no link,non-devreg,non-CNS,housekeeping,5099,183,6,2,0.1
MID2,no link,non-devreg,non-CNS,luxury,105784,735,4,145,-0.27
MIDN,no link,non-devreg,non-CNS,housekeeping,10591,468,2,2,-1.26
MIEF1,no link,Devreg,non-CNS,housekeeping,15854,463,4,27,0.42
MIEF2,no link,Devreg,non-CNS,luxury,4672,465,6,2,-0.53
MIEN1,no link,non-devreg,non-CNS,housekeeping,1380,115,2,1,0.06
MIER1,no link,non-devreg,non-CNS,housekeeping,63725,565,22,67,-0.07
MIER2,no link,non-devreg,non-CNS,luxury,39217,545,2,69,-1.15
MIER3,no link,non-devreg,non-CNS,luxury,32526,549,6,32,-0.38
MIF,no link,Devreg,non-CNS,housekeeping,845,115,2,0,NA
MIF4GD,no link,non-devreg,non-CNS,housekeeping,5002,263,8,6,-0.18
MIIP,no link,non-devreg,non-CNS,housekeeping,12808,388,2,33,0.69
MILR1,no link,non-devreg,non-CNS,luxury,3192,343,6,6,NA
MINA,no link,non-devreg,non-CNS,luxury,30635,465,8,33,7.61e-5
MINK1,no link,non-devreg,non-CNS,luxury,64722,1332,8,113,-1.46
MINOS1,no link,non-devreg,non-CNS,housekeeping,32845,140,6,61,0.01
MINOS1-NBL1,no link,non-devreg,non-CNS,luxury,61479,195,4,122,NA
MINPP1,no link,non-devreg,non-CNS,luxury,48996,487,6,83,-0.63
MIOS,no link,non-devreg,non-CNS,luxury,40495,875,2,50,-0.95
MIOX,no link,non-devreg,non-CNS,luxury,3538,285,2,0,-0.2
MIP,no link,non-devreg,non-CNS,luxury,16528,103,2,40,0.15
MIPEP,no link,non-devreg,non-CNS,luxury,159260,713,2,219,0.62
MIPOL1,no link,non-devreg,non-CNS,luxury,353347,442,6,480,-0.71
MIR1-1HG,no link,non-devreg,non-CNS,luxury,20312,117,4,4,0.82
MIR205HG,no link,non-devreg,non-CNS,luxury,3725,102,2,1,NA
MIS12,no link,non-devreg,non-CNS,housekeeping,4437,205,10,5,-0.12
MIS18A,no link,non-devreg,non-CNS,luxury,10847,233,2,19,-0.1
MIS18BP1,no link,non-devreg,non-CNS,luxury,50213,1132,2,87,1.74
MISP,no link,non-devreg,non-CNS,luxury,13173,679,2,25,-0.03
MITD1,no link,non-devreg,non-CNS,housekeeping,11767,249,2,26,-0.1
MITF,no link,Devreg,non-CNS,luxury,228903,520,16,319,-0.56
MIXL1,no link,Devreg,non-CNS,luxury,2131,232,4,1,NA
MKI67,no link,non-devreg,non-CNS,luxury,29544,3256,4,18,7.63
MKKS,no link,Devreg,CNS,housekeeping,29460,570,4,44,0.35
MKL1,no link,non-devreg,non-CNS,luxury,226399,931,8,480,-0.53
MKL2,asd-linked,Devreg,non-CNS,luxury,195435,1049,2,283,-1.55
MKLN1,no link,Devreg,non-CNS,housekeeping,168804,735,4,286,-0.43
MKNK1,no link,non-devreg,non-CNS,housekeeping,46888,465,6,80,0.33
MKNK2,no link,non-devreg,non-CNS,luxury,13774,465,4,6,-0.58
MKRN1,no link,non-devreg,non-CNS,luxury,26530,482,6,56,0.04
MKRN2,no link,non-devreg,non-CNS,housekeeping,26698,416,4,58,-0.67
MKRN2OS,no link,non-devreg,non-CNS,luxury,5684,223,2,7,NA
MKRN3,no link,non-devreg,non-CNS,luxury,2713,507,2,0,-1.13
MKS1,no link,Devreg,non-CNS,luxury,13870,559,4,13,-0.04
MKX,no link,non-devreg,non-CNS,luxury,72976,352,4,84,0.66
MLANA,no link,non-devreg,non-CNS,luxury,18914,118,2,37,-0.23
MLC1,no link,non-devreg,non-CNS,luxury,25962,377,4,31,0.0
MLEC,no link,non-devreg,non-CNS,housekeeping,14719,292,6,7,-0.14
MLF1,no link,non-devreg,non-CNS,luxury,35297,268,12,47,0.53
MLF2,no link,non-devreg,non-CNS,housekeeping,4925,248,2,2,-0.36
MLH1,no link,non-devreg,non-CNS,housekeeping,57497,756,14,109,0.51
MLH3,no link,non-devreg,non-CNS,luxury,37769,1453,4,56,1.86
MLIP,no link,non-devreg,non-CNS,luxury,154834,993,6,182,0.24
