symbol,gi,protlen,transcripts,length,introns,mcs_ds,dmcs_ds,asd,DevReg,cns,housekeeping,RVIS,te,teLINE_L1,teLINE_L2,teSINE_MIR,teSINE_Alu,teL1_L1M,teL1_L1PA,dte,dteLINE_L1,dteLINE_L2,dteSINE_MIR,dteSINE_Alu,dteL1_L1M,dteL1_L1PA
HEATR3,55027,680,2,39495,13,699,17.69844284,no link,non-devreg,non-CNS,luxury,0.11,79,12,5,5,44,12,0,2.000253197,0.303835929,0.126598304,0.126598304,1.114065072,0.303835929,0
HEATR4,399671,1026,4,80463,15,793,9.855461516,no link,non-devreg,non-CNS,luxury,-0.01,206,24,7,20,119,24,0,2.560182941,0.298273741,0.086996508,0.248561451,1.478940631,0.298273741,0
HEATR5A,25938,2046,2,128795,34,2525,19.60479832,no link,non-devreg,non-CNS,housekeeping,NA,264,36,7,21,150,36,0,2.049769013,0.279513956,0.054349936,0.163049808,1.164641485,0.279513956,0
HEATR5B,54497,2071,2,103333,34,2700,26.12911655,no link,non-devreg,non-CNS,luxury,-2.51,192,25,20,20,96,22,1,1.85807051,0.241936264,0.193549011,0.193549011,0.929035255,0.212903913,0.009677451
HEATR6,63897,1181,2,35741,18,911,25.48893428,no link,non-devreg,non-CNS,luxury,-0.99,44,5,4,13,6,5,0,1.231079153,0.139895358,0.111916287,0.363727932,0.16787443,0.139895358,0
HEATR9,256957,570,2,13936,13,152,10.90700344,no link,non-devreg,non-CNS,luxury,0.98,30,0,9,6,10,0,0,2.152698048,0,0.645809414,0.43053961,0.717566016,0,0
HEBP1,50865,189,2,25445,2,241,9.471408921,no link,non-devreg,non-CNS,housekeeping,-0.18,46,5,7,11,12,4,0,1.80782079,0.19650226,0.275103164,0.432304972,0.471605423,0.157201808,0
HEBP2,23593,205,2,9247,2,27,2.919865902,no link,non-devreg,non-CNS,luxury,0.1,12,0,2,1,5,0,0,1.297718179,0,0.216286363,0.108143182,0.540715908,0,0
HECA,51696,543,2,45698,2,216,4.726683881,no link,non-devreg,non-CNS,luxury,-0.67,63,8,6,12,20,7,0,1.378616132,0.175062366,0.131296774,0.262593549,0.437655915,0.15317957,0
HECTD1,25831,2610,2,107366,41,1927,17.94795373,no link,non-devreg,non-CNS,luxury,-2.23,228,28,19,22,135,25,3,2.123577296,0.260790194,0.176964775,0.204906581,1.257381294,0.232848388,0.027941807
HECTD2,143279,776,6,104425,19,1285,12.3054824,no link,non-devreg,non-CNS,luxury,-0.09,101,33,9,17,12,21,11,0.967201341,0.31601628,0.086186258,0.162796265,0.114915011,0.201101269,0.10533876
HECTD3,79654,861,2,8808,19,414,47.0027248,no link,non-devreg,non-CNS,housekeeping,-0.91,4,0,3,0,1,0,0,0.454132607,0,0.340599455,0,0.113533152,0,0
HECTD4,283450,4284,2,221905,74,3132,14.11414795,no link,non-devreg,non-CNS,luxury,NA,446,69,44,29,234,59,0,2.009869088,0.310943872,0.198283049,0.130686555,1.054505306,0.265879543,0
HECW1,23072,1606,4,450741,28,3678,8.159896703,no link,non-devreg,non-CNS,luxury,-0.43,649,125,74,78,166,104,14,1.439851267,0.277321122,0.164174104,0.17304838,0.36828245,0.230731174,0.031059966
HECW2,57520,1572,4,393359,27,3983,10.12561045,no link,non-devreg,non-CNS,luxury,-2.47,532,86,80,79,132,72,12,1.35245412,0.218629801,0.203376559,0.200834352,0.335571323,0.183038903,0.030506484
HEG1,57493,1381,2,90249,15,1428,15.82289,no link,non-devreg,non-CNS,luxury,0.99,132,21,14,23,42,20,0,1.462620084,0.232689559,0.155126373,0.254850469,0.465379118,0.221609104,0
HELB,92797,1087,2,41089,12,782,19.03185767,no link,non-devreg,non-CNS,luxury,1.08,89,14,16,7,23,10,0,2.166029838,0.340723795,0.389398623,0.170361897,0.55976052,0.243374139,0
HELLS,3070,838,20,56283,20,722,12.82802978,no link,non-devreg,non-CNS,luxury,0.02,113,23,5,7,67,23,0,2.007711032,0.408649148,0.088836771,0.12437148,1.190412736,0.408649148,0
HELQ,113510,1101,12,48527,16,884,18.21666289,no link,non-devreg,non-CNS,luxury,1.78,109,19,4,8,57,12,1,2.246172234,0.39153461,0.082428339,0.164856678,1.174603829,0.247285017,0.020607085
HELZ,9931,1942,2,174766,31,3241,18.54479704,no link,non-devreg,non-CNS,housekeeping,-1.21,245,49,31,19,108,42,1,1.401874506,0.280374901,0.17738004,0.108716798,0.61796917,0.240321344,0.005721937
HELZ2,85441,2649,4,16154,18,211,13.06178036,no link,non-devreg,non-CNS,luxury,-0.15,6,0,1,3,2,0,0,0.371425034,0,0.061904172,0.185712517,0.123808345,0,0
HEMGN,55363,484,4,11603,2,24,2.068430578,no link,Devreg,non-CNS,luxury,-0.76,24,7,1,6,4,6,1,2.068430578,0.603292252,0.086184607,0.517107645,0.34473843,0.517107645,0.086184607
HEMK1,51409,338,2,15513,9,235,15.14858506,no link,non-devreg,non-CNS,housekeeping,0.04,22,0,4,13,3,0,0,1.41816541,0,0.257848256,0.838006833,0.193386192,0,0
HENMT1,113802,393,4,12835,6,256,19.94546163,no link,non-devreg,non-CNS,luxury,0.8,19,4,0,0,10,4,0,1.48032723,0.311647838,0,0,0.779119595,0.311647838,0
HEPACAM,220296,416,2,17163,5,116,6.758725165,no link,non-devreg,non-CNS,luxury,-0.16,27,3,4,7,6,3,0,1.573151547,0.174794616,0.233059488,0.407854105,0.349589233,0.174794616,0
HEPACAM2,253012,462,8,37884,8,726,19.16376307,no link,non-devreg,non-CNS,luxury,0.64,41,5,9,15,4,5,0,1.082251082,0.131981839,0.237567311,0.395945518,0.105585471,0.131981839,0
HEPH,9843,1212,8,104798,19,1302,12.42390122,no link,non-devreg,non-CNS,luxury,0.38,143,49,25,36,12,18,18,1.364529857,0.467566175,0.238554171,0.343518006,0.114506002,0.171759003,0.171759003
HEPHL1,341208,1159,2,92997,18,1302,14.00045163,no link,non-devreg,non-CNS,luxury,-0.28,109,21,20,23,16,16,5,1.17208082,0.225813736,0.215060701,0.247319806,0.172048561,0.172048561,0.053765175
HEPN1,641654,88,2,1428,0,0,0,no link,non-devreg,non-CNS,luxury,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HERC1,8925,4861,2,225331,76,5133,22.77982168,no link,non-devreg,CNS,luxury,-3.88,365,78,32,37,150,67,3,1.619839259,0.346157431,0.142013305,0.164202884,0.665687367,0.297340357,0.013313747
HERC2,8924,4834,2,211116,91,4062,19.24060706,no link,non-devreg,non-CNS,luxury,-5.99,297,99,6,9,124,95,3,1.406809527,0.468936509,0.028420394,0.042630592,0.587354819,0.449989579,0.014210197
HERC3,8916,1050,4,116120,24,2072,17.84361006,no link,non-devreg,non-CNS,luxury,-0.38,147,38,18,23,33,30,5,1.265931795,0.327247675,0.155012056,0.198070961,0.28418877,0.258353427,0.043058905
HERC4,26091,1057,10,153448,24,1596,10.40091757,no link,non-devreg,non-CNS,housekeeping,-1.09,297,87,24,12,132,79,0,1.935509098,0.566967311,0.156404776,0.078202388,0.860226266,0.514832386,0
HERC5,51191,1024,2,49052,21,0,0,no link,non-devreg,non-CNS,luxury,-0.82,100,26,9,11,32,26,0,2.038652858,0.530049743,0.183478757,0.224251814,0.652368915,0.530049743,0
HERC6,55008,1022,4,64359,21,1081,16.79640765,no link,non-devreg,non-CNS,luxury,1.94,145,25,17,13,42,24,0,2.25298715,0.38844606,0.264143321,0.201991951,0.652589381,0.372908218,0
HERPUD1,9709,391,6,11792,6,173,14.67096336,no link,non-devreg,non-CNS,housekeeping,-0.14,12,1,1,3,6,1,0,1.017639077,0.084803256,0.084803256,0.254409769,0.508819539,0.084803256,0
HERPUD2,64224,406,2,62503,7,426,6.815672848,no link,non-devreg,non-CNS,housekeeping,0.17,79,24,6,11,26,19,2,1.263939331,0.383981569,0.095995392,0.175991552,0.415980033,0.303985409,0.031998464
HES1,3280,280,2,2471,2,26,10.52205585,no link,Devreg,CNS,luxury,-0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HES2,54626,173,2,4686,2,8,1.707212975,no link,non-devreg,non-CNS,luxury,NA,3,0,1,0,2,0,0,0.640204866,0,0.213401622,0,0.426803244,0,0
HES3,390992,186,2,1387,2,5,3.604902668,no link,Devreg,CNS,luxury,NA,1,0,0,0,1,0,0,0.720980534,0,0,0,0.720980534,0,0
HES4,57801,221,4,1211,2,10,8.257638315,no link,non-devreg,non-CNS,luxury,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HES5,388585,166,2,1501,1,0,0,no link,Devreg,CNS,luxury,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HES6,55502,224,6,1774,2,21,11.83765502,no link,non-devreg,non-CNS,luxury,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HES7,84667,230,4,3503,2,20,5.70939195,no link,Devreg,non-CNS,luxury,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HESX1,8820,185,2,2337,2,21,8.985879332,no link,non-devreg,CNS,luxury,0.19,1,0,0,0,1,0,0,0.427899016,0,0,0,0.427899016,0,0
HEXA,3073,529,2,32743,12,466,14.2320496,no link,non-devreg,non-CNS,housekeeping,-0.33,44,4,11,6,20,4,0,1.343798675,0.122163516,0.335949669,0.183245274,0.610817579,0.122163516,0
HEXB,3074,556,4,36145,12,604,16.71047171,no link,Devreg,non-CNS,luxury,0.95,53,12,6,2,25,11,1,1.466316226,0.331996127,0.165998063,0.055332688,0.691658597,0.304329783,0.027666344
HEXDC,284004,585,2,24265,10,270,11.12713785,no link,non-devreg,non-CNS,housekeeping,0.56,46,9,0,2,27,9,0,1.895734597,0.370904595,0,0.082423243,1.112713785,0.370904595,0
HEXIM1,10614,359,2,4785,0,0,0,no link,non-devreg,non-CNS,housekeeping,-0.12,1,0,0,0,0,0,0,0.208986416,0,0,0,0,0,0
HEXIM2,124790,286,20,9143,2,0,0,no link,non-devreg,non-CNS,luxury,-0.01,19,0,2,2,13,0,0,2.07809253,0,0.218746582,0.218746582,1.421852784,0,0
HEY1,23462,308,6,3854,3,53,13.75194603,no link,Devreg,non-CNS,luxury,-0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEY2,23493,337,2,11684,3,94,8.045190003,no link,Devreg,non-CNS,luxury,-0.4,3,0,0,1,2,0,0,0.256761383,0,0,0.085587128,0.171174255,0,0
HEYL,26508,328,2,16246,3,156,9.602363659,no link,Devreg,non-CNS,luxury,-0.14,31,0,7,15,5,0,0,1.908162009,0,0.430875292,0.923304198,0.307768066,0,0
HFE,3077,348,20,7961,4,40,5.02449441,no link,non-devreg,non-CNS,luxury,0.08,13,0,5,2,3,0,0,1.632960683,0,0.628061801,0.251224721,0.376837081,0,0
HFE2,148738,426,8,4355,2,0,0,no link,non-devreg,non-CNS,luxury,-0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HFM1,164045,1435,2,144104,37,2042,14.17032143,no link,non-devreg,non-CNS,luxury,-0.72,188,60,29,16,37,44,9,1.304613335,0.416365958,0.201243546,0.111030922,0.256759007,0.305335036,0.062454894
HGC6.3,100128124,171,2,1016,0,0,0,no link,non-devreg,non-CNS,luxury,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGD,3081,445,2,54404,12,1319,24.24454084,no link,non-devreg,non-CNS,luxury,-0.38,85,12,9,16,10,6,4,1.562385119,0.220572017,0.165429013,0.294096022,0.183810014,0.110286008,0.073524006
HGF,3082,728,10,68009,16,1327,19.5121234,no link,Devreg,non-CNS,luxury,-0.42,59,9,9,8,14,5,4,0.867532238,0.132335426,0.132335426,0.11763149,0.205855107,0.073519681,0.058815745
HGFAC,3083,655,4,7488,12,86,11.48504274,no link,non-devreg,non-CNS,luxury,0.5,5,0,1,4,0,0,0,0.667735043,0,0.133547009,0.534188034,0,0,0
HGH1,51236,390,2,2949,4,25,8.477449983,no link,non-devreg,non-CNS,luxury,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGS,9146,777,2,18190,20,311,17.09730621,no link,non-devreg,non-CNS,housekeeping,-1.5,15,4,0,2,9,4,0,0.824628917,0.219901045,0,0.109950522,0.49477735,0.219901045,0
HGSNAT,138050,635,2,62379,16,659,10.56445278,no link,non-devreg,non-CNS,luxury,0.16,91,19,1,12,45,16,3,1.458824284,0.304589686,0.016031036,0.192372433,0.721396624,0.256496577,0.048093108
HHAT,55733,493,12,348043,10,3338,9.590768957,no link,non-devreg,non-CNS,luxury,-0.02,546,121,66,75,128,98,18,1.568771675,0.347658192,0.189631741,0.215490615,0.367770649,0.281574403,0.051717748
HHATL,57467,504,2,10165,10,267,26.26660108,no link,non-devreg,non-CNS,luxury,0.11,3,0,2,1,0,0,0,0.295130349,0,0.196753566,0.098376783,0,0,0
HHEX,3087,270,2,5728,2,17,2.967877095,no link,Devreg,CNS,luxury,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HHIP,64399,700,2,92734,11,2358,25.42756702,no link,non-devreg,non-CNS,luxury,0.02,81,7,10,15,24,5,2,0.873466043,0.07548472,0.107835314,0.161752971,0.258804753,0.053917657,0.021567063
HHIPL1,84439,782,4,31532,7,392,12.4318153,no link,non-devreg,non-CNS,luxury,NA,69,3,14,22,15,3,0,2.188253203,0.095141444,0.443993404,0.69770392,0.475707218,0.095141444,0
HHIPL2,79802,724,2,25843,7,424,16.40676392,no link,non-devreg,non-CNS,luxury,1.4,45,9,4,12,16,9,0,1.741283907,0.348256781,0.154780792,0.464342375,0.619123167,0.348256781,0
HHLA1,10086,531,2,43780,14,728,16.62859753,no link,non-devreg,non-CNS,luxury,NA,76,7,13,20,8,6,1,1.73595249,0.159890361,0.296939242,0.456829603,0.182731841,0.137048881,0.02284148
HHLA2,11148,414,10,75795,8,808,10.6603338,no link,non-devreg,non-CNS,luxury,1.82,106,34,6,8,10,21,5,1.398509136,0.448578402,0.079160895,0.105547859,0.131934824,0.277063131,0.065967412
HHLA3,11147,114,6,13213,1,0,0,no link,non-devreg,non-CNS,luxury,0.33,33,1,4,1,15,1,0,2.497540301,0.075683039,0.302732158,0.075683039,1.135245591,0.075683039,0
HIAT1,64645,490,2,45141,10,674,14.930994,no link,non-devreg,non-CNS,housekeeping,-0.21,72,13,8,6,38,11,0,1.595002326,0.287986531,0.177222481,0.132916861,0.841806783,0.243680911,0
HIATL1,84641,506,2,86370,10,539,6.240592798,no link,non-devreg,non-CNS,housekeeping,-0.31,199,61,9,9,84,61,0,2.304040755,0.706263749,0.104202848,0.104202848,0.972559917,0.706263749,0
HIBADH,11112,336,2,137562,6,2080,15.12045478,no link,non-devreg,non-CNS,housekeeping,-0.43,202,51,30,23,57,49,1,1.468428781,0.37074192,0.218083482,0.167197336,0.414358616,0.356203021,0.007269449
HIBCH,26275,386,4,115412,12,886,7.676844696,no link,non-devreg,non-CNS,luxury,0.75,209,56,21,12,45,42,9,1.810903546,0.485218175,0.181956816,0.103975323,0.389907462,0.363913631,0.077981492
HIC1,3090,733,4,3378,0,0,0,no link,non-devreg,non-CNS,luxury,NA,1,0,0,0,0,0,0,0.296033156,0,0,0,0,0,0
HIC2,23119,615,2,34058,1,0,0,no link,non-devreg,non-CNS,luxury,-0.4,37,2,2,4,22,2,0,1.086382054,0.058723354,0.058723354,0.117446709,0.645956897,0.058723354,0
HID1,283987,788,2,22062,17,469,21.25827214,no link,non-devreg,non-CNS,luxury,-1.17,31,2,4,5,15,2,0,1.405130994,0.090653613,0.181307225,0.226634031,0.679902094,0.090653613,0
HIF1A,3091,826,6,52859,13,773,14.62381051,no link,Devreg,CNS,luxury,-0.2,74,9,13,11,30,6,3,1.399950813,0.170264288,0.245937305,0.208100796,0.567547627,0.113509525,0.056754763
HIF1AN,55662,349,2,18041,6,394,21.83914417,no link,Devreg,non-CNS,luxury,0.26,29,0,1,6,13,0,0,1.607449698,0,0.0554293,0.3325758,0.720580899,0,0
HIF3A,64344,669,8,46388,13,430,9.2696387,no link,non-devreg,non-CNS,luxury,-0.33,119,8,12,18,64,7,0,2.565318617,0.172458394,0.258687592,0.388031387,1.379667155,0.150901095,0
HIGD1A,25994,107,6,21535,2,36,1.671697237,no link,non-devreg,non-CNS,housekeeping,-0.03,36,9,1,1,18,8,0,1.671697237,0.417924309,0.046436034,0.046436034,0.835848619,0.371488275,0
HIGD1B,51751,99,4,4128,2,36,8.720930233,no link,non-devreg,non-CNS,luxury,0.42,6,0,0,1,5,0,0,1.453488372,0,0,0.242248062,1.21124031,0,0
HIGD1C,613227,97,2,16508,1,0,0,no link,non-devreg,non-CNS,luxury,0.39,51,4,3,1,26,4,0,3.089411195,0.24230676,0.18173007,0.06057669,1.574993942,0.24230676,0
HIGD2A,192286,106,2,968,0,0,0,no link,non-devreg,non-CNS,housekeeping,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HILPDA,29923,63,4,2589,0,0,0,no link,non-devreg,non-CNS,luxury,0.46,3,0,1,0,2,0,0,1.158748552,0,0.386249517,0,0.772499034,0,0
HINFP,25988,517,6,13533,8,179,13.22692677,no link,non-devreg,non-CNS,housekeeping,0.18,30,2,2,7,17,1,0,2.21680337,0.147786891,0.147786891,0.51725412,1.256188576,0.073893446,0
HINT1,3094,126,2,6066,1,0,0,no link,non-devreg,non-CNS,housekeeping,-0.14,9,1,2,0,4,1,0,1.483679525,0.164853281,0.329706561,0,0.659413122,0.164853281,0
HINT2,84681,163,2,2086,3,18,8.628954938,no link,non-devreg,non-CNS,housekeeping,-0.08,1,0,0,1,0,0,0,0.479386385,0,0,0.479386385,0,0,0
HINT3,135114,182,2,23529,3,176,7.480130902,no link,non-devreg,non-CNS,luxury,0.21,34,7,5,4,11,6,1,1.445025288,0.297505206,0.212503719,0.170002975,0.467508181,0.255004463,0.042500744
HIP1,3092,1037,4,205665,29,951,4.624024506,no link,non-devreg,non-CNS,luxury,-0.99,558,89,34,47,343,71,7,2.713150026,0.432742567,0.165317385,0.228526973,1.667760679,0.345221598,0.034035932
HIP1R,9026,1068,6,27469,30,460,16.74615021,no link,non-devreg,non-CNS,luxury,-1.05,18,1,1,6,4,1,0,0.655284138,0.036404674,0.036404674,0.218428046,0.145618697,0.036404674,0
HIPK1,204851,1210,8,48496,14,1077,22.20801716,no link,Devreg,non-CNS,luxury,-1.64,55,7,5,12,26,6,0,1.134114154,0.144341801,0.103101287,0.247443088,0.536126691,0.123721544,0
HIPK2,28996,1198,4,231378,13,1411,6.09824616,no link,Devreg,non-CNS,luxury,NA,293,34,50,45,80,26,3,1.266326098,0.146945691,0.216096604,0.194486943,0.345754566,0.112370234,0.012965796
HIPK3,10114,1194,8,100351,14,1082,10.78215464,no link,non-devreg,non-CNS,luxury,-0.73,176,35,10,16,83,31,0,1.753844008,0.348775797,0.099650228,0.159440364,0.82709689,0.308915706,0
HIPK4,147746,616,2,10917,2,18,1.648804617,no link,non-devreg,non-CNS,luxury,-0.08,23,0,5,0,18,0,0,2.106805899,0,0.458001282,0,1.648804617,0,0
HIRA,7290,1017,2,100996,23,1439,14.24808903,no link,non-devreg,non-CNS,luxury,-1.37,189,61,23,19,66,50,0,1.871361242,0.603984316,0.227731791,0.188126262,0.653491227,0.495069112,0
HIRIP3,8479,556,4,3776,5,18,4.766949153,asd-linked,non-devreg,non-CNS,luxury,0.49,2,0,1,0,0,0,0,0.529661017,0,0.264830508,0,0,0,0
HIST1H1A,3024,215,2,781,0,0,0,no link,non-devreg,non-CNS,luxury,-0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H1B,3009,226,2,790,0,0,0,no link,non-devreg,non-CNS,luxury,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H1C,3006,213,2,732,0,0,0,no link,non-devreg,non-CNS,luxury,-0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H1D,3007,221,2,777,0,0,0,no link,non-devreg,non-CNS,luxury,-0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H1E,3008,219,2,785,0,0,0,no link,non-devreg,non-CNS,luxury,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H1T,3010,207,2,725,0,0,0,no link,non-devreg,non-CNS,luxury,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2AA,221613,131,2,500,0,0,0,no link,non-devreg,non-CNS,luxury,-0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2AB,8335,130,2,477,0,0,0,no link,non-devreg,non-CNS,luxury,-0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2AC,8334,130,2,546,0,0,0,no link,non-devreg,non-CNS,luxury,-0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2AD,3013,130,2,510,0,0,0,no link,non-devreg,non-CNS,luxury,-0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2AE,3012,130,2,564,0,0,0,asd-linked,non-devreg,non-CNS,luxury,-0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2AG,8969,130,2,498,0,0,0,no link,non-devreg,non-CNS,luxury,-0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2AH,85235,128,2,481,0,0,0,no link,non-devreg,non-CNS,luxury,-0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2AJ,8331,128,2,439,0,0,0,no link,non-devreg,non-CNS,luxury,-0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2AK,8330,130,2,460,0,0,0,no link,non-devreg,non-CNS,luxury,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2AL,8332,130,2,470,0,0,0,no link,non-devreg,non-CNS,luxury,-0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2AM,8336,130,2,487,0,0,0,no link,non-devreg,non-CNS,luxury,-0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2BA,255626,127,2,437,0,0,0,no link,non-devreg,non-CNS,luxury,-0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2BB,3018,126,2,431,0,0,0,no link,non-devreg,non-CNS,luxury,-0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2BC,8347,126,2,438,0,0,0,no link,non-devreg,non-CNS,housekeeping,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2BD,3017,126,4,487,0,0,0,no link,non-devreg,non-CNS,luxury,-0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2BE,8344,126,2,435,0,0,0,no link,non-devreg,non-CNS,luxury,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2BF,8343,126,2,430,0,0,0,no link,non-devreg,non-CNS,luxury,-0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2BG,8339,126,2,445,0,0,0,no link,non-devreg,non-CNS,luxury,-0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2BH,8345,126,2,425,0,0,0,no link,non-devreg,non-CNS,luxury,-0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2BI,8346,126,2,437,0,0,0,no link,non-devreg,non-CNS,luxury,-0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2BJ,8970,126,2,481,0,0,0,no link,non-devreg,non-CNS,luxury,-0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2BK,85236,126,2,8566,0,0,0,no link,non-devreg,non-CNS,luxury,-0.41,13,3,0,1,5,3,0,1.517627831,0.350221807,0,0.116740602,0.583703012,0.350221807,0
HIST1H2BL,8340,126,2,453,0,0,0,no link,non-devreg,non-CNS,luxury,-0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2BM,8342,126,2,446,0,0,0,no link,non-devreg,non-CNS,luxury,-0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2BN,8341,126,2,449,0,0,0,no link,non-devreg,non-CNS,luxury,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2BO,8348,126,2,467,0,0,0,no link,non-devreg,non-CNS,luxury,-0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H3A,8350,136,2,469,0,0,0,no link,non-devreg,non-CNS,luxury,-1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H3B,8358,136,2,472,0,0,0,no link,non-devreg,non-CNS,luxury,-0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H3C,8352,136,2,459,0,0,0,no link,non-devreg,non-CNS,luxury,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H3D,8351,136,2,2510,0,0,0,no link,non-devreg,non-CNS,luxury,-0.14,1,0,0,0,1,0,0,0.398406375,0,0,0,0.398406375,0,0
HIST1H3E,8353,136,2,462,0,0,0,no link,non-devreg,non-CNS,luxury,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H3F,8968,136,2,466,0,0,0,no link,non-devreg,non-CNS,luxury,-0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H3G,8355,136,2,467,0,0,0,no link,non-devreg,non-CNS,luxury,-0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H3H,8357,136,2,2338,0,0,0,no link,non-devreg,non-CNS,luxury,-0.12,1,0,0,0,0,0,0,0.427715997,0,0,0,0,0,0
HIST1H3I,8354,136,2,477,0,0,0,no link,non-devreg,non-CNS,luxury,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H3J,8356,136,2,478,0,0,0,no link,non-devreg,non-CNS,luxury,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H4A,8359,103,2,372,0,0,0,no link,Devreg,non-CNS,luxury,-0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H4B,8366,103,2,357,0,0,0,no link,non-devreg,non-CNS,luxury,-0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H4C,8364,103,2,390,0,0,0,no link,non-devreg,non-CNS,luxury,-0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H4D,8360,103,2,367,0,0,0,no link,non-devreg,non-CNS,luxury,-0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H4E,8367,103,2,377,0,0,0,no link,non-devreg,non-CNS,luxury,-0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H4F,8361,103,2,368,0,0,0,no link,non-devreg,non-CNS,luxury,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H4G,8369,98,2,367,0,0,0,no link,non-devreg,non-CNS,luxury,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H4H,8365,103,2,374,0,0,0,no link,non-devreg,non-CNS,luxury,-0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H4I,8294,103,2,370,0,0,0,no link,non-devreg,non-CNS,luxury,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H4J,8363,103,2,356,0,0,0,no link,non-devreg,non-CNS,luxury,-0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H4K,8362,103,2,354,0,0,0,no link,non-devreg,non-CNS,luxury,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H4L,8368,103,2,364,0,0,0,no link,non-devreg,non-CNS,luxury,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST2H2AA3,8337,130,2,534,0,0,0,no link,non-devreg,non-CNS,luxury,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST2H2AA4,723790,130,2,534,0,0,0,no link,non-devreg,non-CNS,luxury,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
